feature,event_type,clinic,mimic,vitaldb,min_auc_across_cohorts,max_auc_drop
std_pa_std,hypertension,0.7478321088763098,0.8353413654618473,0.7196102992345164,0.7196102992345164,-0.08750925658553754
std_pa_max,hypertension,0.7277430865298841,0.8278884462151395,0.7175707384403036,0.7175707384403036,-0.1001453596852554
cv_pa_std,hypertension,0.637932072744791,0.7630522088353414,0.710285316631872,0.637932072744791,-0.1251201360905504
std_pa_slope,hypertension,0.6251138226188309,0.7349397590361445,0.7595267919276271,0.6251138226188309,-0.1344129693087962
arv_std,hypertension,0.6167349150909309,0.7397590361445783,0.7807933194154488,0.6167349150909309,-0.1640584043245179
cv_pa_mean,hypertension,0.6143919119833482,0.6988047808764941,0.6031193926846101,0.6031193926846101,-0.08441286889314592
arv_max,hypertension,0.5926553672316385,0.6374501992031872,0.7739406487232574,0.5926553672316385,-0.18128528149161893
cv_pa_slope,hypertension,0.5896315182419717,0.6634538152610442,0.7141544885177453,0.5896315182419717,-0.12452297027577364
brs_min,hypertension,0.6000441000441,0.58714859437751,0.6046938410121747,0.58714859437751,-0.004649740968074689
sdnn_mean,hypertension,0.5842105263157895,0.7147410358565738,0.6144099378881988,0.5842105263157895,-0.13053050954078427
rsa_mean,hypertension,0.6163316341252285,0.7336032388663968,0.5825262484367275,0.5825262484367275,-0.11727160474116827
pnn50_mean,hypertension,0.5819506393101398,0.7235059760956175,0.6275914423740512,0.5819506393101398,-0.14155533678547771
std_pa_mean,hypertension,0.5753196550698781,0.7466135458167331,0.6536369910282954,0.5753196550698781,-0.17129389074685497
std_pa_min,hypertension,0.5691049658043413,0.5625498007968127,0.5956659765355418,0.5625498007968127,-0.02656101073120043
sdnn_slope,hypertension,0.554270624658532,0.6409638554216868,0.6030897703549061,0.554270624658532,-0.08669323076315472
pnn50_max,hypertension,0.5535533749628309,0.6613545816733069,0.7193512767425811,0.5535533749628309,-0.1657979017797503
rmssd_max,hypertension,0.5526613143027059,0.641434262948207,0.6334299516908213,0.5526613143027059,-0.08877294864550112
cv_pa_max,hypertension,0.551234017246506,0.7912350597609562,0.7035748792270531,0.551234017246506,-0.2400010425144502
rmssd_std,hypertension,0.547452727929664,0.5445783132530121,0.5915935977731386,0.5445783132530121,-0.04414086984347454
rmssd_mean,hypertension,0.5360392506690455,0.699601593625498,0.6040303657694962,0.5360392506690455,-0.16356234295645256
sdnn_min,hypertension,0.5821439191198334,0.7243027888446215,0.5329192546583851,0.5329192546583851,-0.14215886972478808
rmssd_slope,hypertension,0.5403690888119954,0.531726907630522,0.6082393876130828,0.531726907630522,-0.06787029880108741
arv_mean,hypertension,0.5478441867380315,0.651792828685259,0.531511387163561,0.531511387163561,-0.10394864194722753
brs_mean,hypertension,0.5422415422415422,0.6811244979919678,0.5287061351157795,0.5287061351157795,-0.13888295575042564
brs_slope,hypertension,0.534570199653335,0.5238866396761134,0.5360766292671282,0.5238866396761134,-0.0015064296137932143
rmssd_min,hypertension,0.5439637228664882,0.7155378486055777,0.5233264320220842,0.5233264320220842,-0.17157412573908948
rsa_slope,hypertension,0.5221673286189416,0.5255060728744939,0.5671860952951753,0.5221673286189416,-0.045018766676233724
pnn50_slope,hypertension,0.5208523037698052,0.5903614457831325,0.5888935281837161,0.5208523037698052,-0.06950914201332736
arv_slope,hypertension,0.530261640259819,0.5204819277108433,0.5664857341684064,0.5204819277108433,-0.036224093908587385
pnn50_min,hypertension,0.5250223015165031,0.7760956175298805,0.5195721187025535,0.5195721187025535,-0.25107331601337746
sdnn_std,hypertension,0.511441647597254,0.5413654618473895,0.5884759916492692,0.511441647597254,-0.07703434405201526
rsa_max,hypertension,0.5076784970023404,0.7165991902834009,0.5602768810167815,0.5076784970023404,-0.20892069328106055
brs_std,hypertension,0.5056464915619845,0.7080645161290322,0.5204105991883504,0.5056464915619845,-0.20241802456704772
pnn50_std,hypertension,0.5862037817656268,0.5052208835341365,0.6370494084899094,0.5052208835341365,-0.05084562672428261
cv_pa_min,hypertension,0.7016651798988998,0.505179282868526,0.6392546583850932,0.505179282868526,0.06241052151380655
rsa_min,hypertension,0.5902023019460741,0.7044534412955465,0.504551667975453,0.504551667975453,-0.1142511393494724
brs_max,hypertension,0.5201600201600202,0.6987951807228916,0.5043566483647648,0.5043566483647648,-0.17863516056287143
sdnn_max,hypertension,0.5023490930716622,0.6390438247011951,0.6311111111111112,0.5023490930716622,-0.13669473162953294
rsa_std,hypertension,0.5017514541890284,0.6704453441295547,0.5381501182033096,0.5017514541890284,-0.16869388994052625
arv_min,hypertension,0.5874219446922391,0.500398406374502,0.6772946859903382,0.500398406374502,-0.08987274129809908
std_pa_mean,hypotension,0.6639616504023284,0.6667496679946879,0.6505462968657114,0.6505462968657114,-0.002788017592359582
cv_pa_std,hypotension,0.7044886463650766,0.5990629183400268,0.6526866739784964,0.5990629183400268,0.05180197238658013
rsa_max,hypotension,0.5823880486358244,0.6774628879892038,0.6081010866546624,0.5823880486358244,-0.09507483935337946
arv_std,hypotension,0.682485477908819,0.5796519410977242,0.7260138811841778,0.5796519410977242,-0.043528403275358785
brs_min,hypotension,0.6165692231266002,0.6363788487282462,0.5763024085637823,0.5763024085637823,-0.019809625601646008
arv_mean,hypotension,0.6203047423386405,0.6147078353253652,0.5749625894266445,0.5749625894266445,0.00559690701327531
std_pa_max,hypotension,0.6659133709981166,0.5725431606905711,0.6632064448680893,0.5725431606905711,0.0027069261300273206
rsa_mean,hypotension,0.572045521945433,0.6562921727395411,0.6138165497594669,0.572045521945433,-0.08424665079410809
pnn50_max,hypotension,0.5504280089025853,0.6298970783532536,0.7577598753664185,0.5504280089025853,-0.20733186646383328
rsa_std,hypotension,0.5489372770511296,0.6742577597840756,0.6024477100613055,0.5489372770511296,-0.12532048273294605
rmssd_mean,hypotension,0.5476973121040918,0.6567065073041168,0.6342250374105733,0.5476973121040918,-0.10900919520002506
arv_max,hypotension,0.6486218113336757,0.5469787516600265,0.7141381218867228,0.5469787516600265,-0.06551631055304707
arv_slope,hypotension,0.5612989087037529,0.5466030789825971,0.5784384477263159,0.5466030789825971,-0.017139539022563044
sdnn_mean,hypotension,0.5444786851566512,0.6404382470119522,0.6443351167414878,0.5444786851566512,-0.09985643158483659
cv_pa_max,hypotension,0.7503509673001199,0.5412516600265604,0.6877764795113053,0.5412516600265604,0.06257448778881458
pnn50_std,hypotension,0.5345361732089421,0.6470046854082998,0.657476063638327,0.5345361732089421,-0.12293989042938491
pnn50_mean,hypotension,0.5283684300633453,0.6596115537848605,0.646161572679007,0.5283684300633453,-0.13124312372151514
rsa_slope,hypotension,0.5283378136200717,0.5509446693657221,0.6057189321046212,0.5283378136200717,-0.07738111848454954
cv_pa_min,hypotension,0.579934942646807,0.560839973439575,0.5267757210503659,0.5267757210503659,0.01909496920723197
brs_slope,hypotension,0.5328384798099762,0.5613191632928475,0.5246541358829494,0.5246541358829494,-0.02848068348287125
sdnn_max,hypotension,0.5235319294641329,0.633383134130146,0.6741979788040916,0.5235319294641329,-0.15066604933995875
brs_mean,hypotension,0.5175780503649356,0.7414658634538152,0.5997056199821588,0.5175780503649356,-0.2238878130888795
rmssd_slope,hypotension,0.5161919971608553,0.5212516733601071,0.631790338238958,0.5161919971608553,-0.11559834107810274
brs_max,hypotension,0.514692957315908,0.6529451137884873,0.5823595004460302,0.514692957315908,-0.13825215647257927
std_pa_min,hypotension,0.5143639787707585,0.7036852589641434,0.5320849476251972,0.5143639787707585,-0.1893212801933849
rmssd_max,hypotension,0.5142098955658279,0.6555444887118195,0.6835823955066314,0.5142098955658279,-0.1693724999408035
pnn50_min,hypotension,0.5253894881013526,0.576651726427623,0.5134924051411354,0.5134924051411354,-0.051262238326270415
std_pa_std,hypotension,0.6716951240978701,0.5122155287817939,0.6526866739784964,0.5122155287817939,0.019008450119373688
arv_min,hypotension,0.5111282314672145,0.6762118193891102,0.5718283008425067,0.5111282314672145,-0.1650835879218957
cv_pa_slope,hypotension,0.5100700913849703,0.5157295850066934,0.6550555426686254,0.5100700913849703,-0.14498545128365514
cv_pa_mean,hypotension,0.7592193117616846,0.5090471447543161,0.6466227989258553,0.5090471447543161,0.11259651283582928
std_pa_slope,hypotension,0.5561352142667021,0.5085341365461847,0.6751763361598666,0.5085341365461847,-0.11904112189316451
rsa_min,hypotension,0.5490621293001186,0.6364709851551956,0.5078610013706362,0.5078610013706362,-0.08740885585507707
sdnn_min,hypotension,0.6073874336586201,0.6433017928286853,0.5069327429637374,0.5069327429637374,-0.035914359170065135
sdnn_slope,hypotension,0.5068405642800107,0.5269410977242303,0.6389082192840022,0.5068405642800107,-0.13206765500399154
sdnn_std,hypotension,0.5046822742474917,0.6386378848728246,0.6366627566727504,0.5046822742474917,-0.1339556106253329
rmssd_min,hypotension,0.5933829823660332,0.6625996015936255,0.5023655781727241,0.5023655781727241,-0.06921661922759237
brs_std,hypotension,0.5019625952435927,0.6515456989247311,0.584088175093364,0.5019625952435927,-0.14958310368113847
rmssd_std,hypotension,0.5007569089948952,0.6486780455153949,0.6399700186748084,0.5007569089948952,-0.14792113652049965
pnn50_slope,hypotension,0.5217283293407861,0.5,0.6354781480622351,0.5,-0.11374981872144907
sdnn_std,variability,0.5412163690467449,0.5476260442466732,0.6850606257517731,0.5412163690467449,-0.1438442567050282
cv_pa_mean,variability,0.5431906036277133,0.5395235666331215,0.6510149336236293,0.5395235666331215,-0.10782432999591596
rmssd_std,variability,0.5394604653622112,0.5491163259309013,0.6784087295552267,0.5394604653622112,-0.13894826419301554
rmssd_mean,variability,0.5388602155105278,0.5384482829925972,0.678777450516581,0.5384482829925972,-0.13991723500605324
pnn50_max,variability,0.5454388088866233,0.5374729455878907,0.6668854060158409,0.5374729455878907,-0.12144659712921757
std_pa_std,variability,0.5529965660369599,0.5361165918027511,0.6244616612976814,0.5361165918027511,-0.07146509526072153
std_pa_max,variability,0.550601078968608,0.533768042018776,0.628796780970694,0.533768042018776,-0.07819570200208603
pnn50_mean,variability,0.5426330657151354,0.5331166682749969,0.6587492348361914,0.5331166682749969,-0.11611616912105605
std_pa_mean,variability,0.55575733118106,0.533071864789975,0.6791602443776357,0.533071864789975,-0.1234029131965757
sdnn_mean,variability,0.5376906248672528,0.5319000813355574,0.7029803660238443,0.5319000813355574,-0.16528974115659145
cv_pa_std,variability,0.5444447055574976,0.5306102458614947,0.612151592030859,0.5306102458614947,-0.06770688647336143
cv_pa_max,variability,0.5383784319555952,0.5281296957498725,0.6179666397057701,0.5281296957498725,-0.07958820775017494
pnn50_std,variability,0.5407852877155773,0.5278535745770538,0.6613439111559679,0.5278535745770538,-0.12055862344039059
rmssd_max,variability,0.5271381136456962,0.5454410730779304,0.6702733224472355,0.5271381136456962,-0.1431352088015393
sdnn_max,variability,0.5258226781643374,0.543428362673872,0.6788842767103637,0.5258226781643374,-0.1530615985460263
arv_mean,variability,0.5255270945725896,0.5370972855980921,0.565388652345174,0.5255270945725896,-0.03986155777258438
rsa_std,variability,0.5253842918133672,0.5475377254324623,0.6778081642327116,0.5253842918133672,-0.1524238724193444
arv_max,variability,0.5269841269841269,0.5251002908780105,0.6517063364889452,0.5251002908780105,-0.12472220950481827
rsa_mean,variability,0.5226703115828705,0.5208249445424662,0.6925724484881794,0.5208249445424662,-0.16990213690530898
brs_max,variability,0.5191896753347391,0.5409423407917384,0.6066152585684175,0.5191896753347391,-0.08742558323367833
brs_mean,variability,0.5191779342215876,0.5540590935169248,0.6166941573066151,0.5191779342215876,-0.0975162230850275
brs_std,variability,0.5185290370612832,0.5434716511264261,0.6076202139721487,0.5185290370612832,-0.08909117691086554
arv_min,variability,0.5164992282967306,0.5234012048691049,0.5462154701285136,0.5164992282967306,-0.029716241831783008
rsa_max,variability,0.5163910404019258,0.5500289184499711,0.669365714653672,0.5163910404019258,-0.15297467425174616
brs_min,variability,0.5160313158969976,0.5196069994262765,0.5682784483007536,0.5160313158969976,-0.052247132403756
cv_pa_min,variability,0.5206540362204948,0.5329753649760818,0.5131082522386871,0.5131082522386871,-0.012321328755587002
arv_slope,variability,0.5146148043675106,0.5134313477686971,0.5098628454167851,0.5098628454167851,0.0011834565988134704
sdnn_min,variability,0.5169041955170411,0.5086884296723142,0.5919926137317442,0.5086884296723142,-0.07508841821470302
brs_slope,variability,0.5161572394351491,0.5434579748267779,0.5085811460716732,0.5085811460716732,-0.027300735391628805
pnn50_min,variability,0.5122453025218414,0.5114042101490233,0.5083879757792802,0.5083879757792802,0.000841092372818153
std_pa_min,variability,0.53071768404061,0.5315623319869311,0.5076092467396816,0.5076092467396816,-0.0008446479463211087
sdnn_slope,variability,0.5073807180724421,0.5101033504647963,0.5477617140022433,0.5073807180724421,-0.040380995929801156
rmssd_slope,variability,0.5070836753481749,0.5272348133793917,0.5330497629528851,0.5070836753481749,-0.025966087604710197
arv_std,variability,0.5409402419930498,0.5046807438814491,0.6505507818440736,0.5046807438814491,-0.10961053985102376
cv_pa_slope,variability,0.5039598138229928,0.510735248687056,0.5680946833160012,0.5039598138229928,-0.0641348694930084
rmssd_min,variability,0.5233015448225082,0.5039358138380734,0.5720754633798112,0.5039358138380734,-0.04877391855730295
rsa_slope,variability,0.5026089544701703,0.5067144532200615,0.5343848407678194,0.5026089544701703,-0.03177588629764916
std_pa_slope,variability,0.5013355585083467,0.5018325048445531,0.5662563410211835,0.5013355585083467,-0.06492078251283684
rsa_min,variability,0.5011759780319914,0.5257008148413879,0.5683436860325174,0.5011759780319914,-0.06716770800052596
pnn50_slope,variability,0.5077903800484036,0.5011374168000674,0.5377294561339037,0.5011374168000674,-0.02993907608550006
