,PC1,PC2
brs_mean,0.10152060994862211,-0.07252852724801073
brs_std,0.08414707457412973,-0.05212483607769408
brs_slope,-0.0005881664071022828,0.0010709633019261304
brs_min,0.028391804605140587,-0.03806669597389695
brs_max,0.06969642831625351,-0.04750275649808831
sdnn_mean,0.2894469349037489,-0.09135263596417259
sdnn_std,0.24815559819934604,0.018042992114623936
sdnn_min,0.16538791860915547,-0.13906286519003194
sdnn_max,0.25763399278521626,0.004833796250732433
sdnn_slope,-0.03619955907736744,0.01915340666315682
rmssd_mean,0.28550679269158225,-0.10226002080105517
rmssd_std,0.251030901503094,0.0009615615906428123
rmssd_min,0.16716958025365838,-0.13787653989249404
rmssd_max,0.2543880972459746,-0.011305967518519892
rmssd_slope,-0.024733876760066203,0.01204618777687721
pnn50_mean,0.24991938957165602,-0.10937122595224288
pnn50_std,0.2295795447535662,0.032562934159429756
pnn50_min,0.15718571044428642,-0.13156643220242756
pnn50_max,0.2634986431922512,0.005617240099038718
pnn50_slope,0.022266299213649875,-0.0170748903256468
arv_mean,0.058976889294266276,0.23681662212598525
arv_std,0.0573657919404186,0.21869140007867857
arv_min,0.03228743687277973,0.10170256305865989
arv_max,0.04747934225295035,0.2752096101671778
arv_slope,-0.008055888700650495,-0.025967657185198362
cv_pa_mean,0.1134262252636954,0.30749691374056803
cv_pa_std,0.05635587814959267,0.32212418371201756
cv_pa_min,0.06860349472526792,0.13882008093601733
cv_pa_max,0.052124896305756035,0.3380440208412034
cv_pa_slope,-0.00843768438426854,-0.011286606440245107
std_pa_mean,0.10853625030431172,0.33217378353439686
std_pa_std,0.050172481096837494,0.32673067048671495
std_pa_min,0.06664891059470564,0.1398195136390537
std_pa_max,0.04561457052143883,0.33301387795953585
std_pa_slope,-0.014225301128970963,-0.029866365591219402
rsa_mean,0.27454254792447697,-0.10487042379706675
rsa_std,0.262906257759395,0.005916615506298052
rsa_min,0.15845735826625776,-0.13051971092584372
rsa_max,0.25106927984749833,0.011813543754407956
rsa_slope,-0.04024246272258458,0.014956982892399294
