item,section,requirement,addressed,evidence
1,Title & Abstract,"Identify the study as developing and/or validating a multivariable prediction model, type of prediction (diagnosis/prognosis) and population.",Yes,Title and abstract identify prognosis prediction of haemodynamic instability (hypotension/hypertension/variability) in ICU patients.
2,Introduction,Explain the medical context (including whether diagnostic or prognostic) and rationale for developing/validating the model.,Yes,Section 1 describes clinical motivation: real-time prediction of vasopressor-induced haemodynamic events using arterial waveform beat-by-beat features.
3,Introduction,"Specify the objectives, including whether the study describes the development or validation of the model, or both.",Yes,"Section 1 specifies: Act 1 development (Clínic), Acts 2–3 external validation (MIMIC-IV, VitalDB)."
4a,Methods – Source of data,"Describe the study design or source of data (e.g. randomised trial, cohort or registry data), separately for the development and validation data sets.",Yes,"Section 2: retrospective observational; Clínic UCIQ (ICU), MIMIC-IV Waveform (open), VitalDB (open)."
4b,Methods – Source of data,"Specify the key dates, including start and end of accrual; if applicable, follow-up length.",Partial,Table 1 provides date ranges per cohort; see act5/table1_all_cohorts.csv.
5a,Methods – Participants,Specify inclusion and exclusion criteria.,Yes,Section 2: inclusion — arterial line with ABP signal ≥30 min; exclusion — signal quality < threshold (SQIABP < 0.85 in >50% of beats).
5b,Methods – Participants,"Give details of treatments received, if relevant.",Partial,Vasopressor administration documented as context for hypertension events; full pharmacological detail in source datasets.
6a,Methods – Outcome,Clearly define the outcome that is predicted by the prediction model.,Yes,Section 3.2: hypotension = MAP < 65 mmHg for ≥5 min; hypertension = MAP > 110 mmHg for ≥5 min; variability = IQR of MAP > 20 mmHg per 30 min window.
6b,Methods – Outcome,"Report any actions to blind assessment of the outcome, if applicable.",Yes,"External cohorts (MIMIC, VitalDB) were processed with identical automated pipeline; no manual adjudication — blinding not applicable."
7a,Methods – Predictors,Clearly define all predictors used in developing the model.,Yes,"Section 3.3: 8 physiological signals (BRS, SDNN, RMSSD, pNN50, ARV, CV_PA, std_PA, RSA) × 5 temporal statistics = 40 features."
7b,Methods – Predictors,"Report any actions to blind assessment of predictors for the outcome, if applicable.",Yes,Features are computed from pre-event windows exclusively; label assignment does not feed back into feature computation.
8,Methods – Sample size,Explain how the study size was arrived at.,Partial,Sample size constrained by available ICU recordings. EPV analysis (clinic development set): hypotension: 66 events / 40 features = EPV 1.65 [LOW EPV (<10)]; hypertension: 38 events / 40 features = EPV 0.95 [LOW EPV (<10)]; variability: 1596 events / 40 features = EPV 39.9 [OK]. Hypotension and hypertension EPV < 10; this is a limitation addressed in Discussion Section 6.1 (regularisation via BayesMixedGLM partial pooling; coefficient uncertainty CIs reported). Variability EPV adequate (>10).
9,Methods – Missing data,Describe how missing data were handled.,Yes,Section 3.1: windows with >20% missing beats excluded; remaining feature NaNs imputed via forward-fill in signal pre-processing.
10a,Methods – Statistical analysis,Describe how predictors were handled in the analysis.,Yes,Section 3.4: standardised (z-score) for GLMM; tree models use raw values.
10b,Methods – Statistical analysis,"Specify type of model, all model-building procedures (coding, selection, predictor combination).",Yes,"Section 4: GLMM (penalised mixed logistic), MILP optimal tree (depth=2, MI-selected top-3 features), RF (n=300, patient-level CV), XGBoost."
10c,Methods – Statistical analysis,Specify measures used to assess model performance and uncertainty.,Yes,"AUC (95% CI from CV fold AUCs or bootstrap), Brier score, calibration-in-the-large, calibration slope, DCA net benefit."
10d,Methods – Statistical analysis,Describe any model updating arising from the validation.,Yes,Section 5.2: CITL intercept recalibration tested for MIMIC validation; see act2_results.json glmm_auc_recalibrated.
13a,Results – Participants,Describe the flow of participants (development vs validation).,Yes,"Table 1 (act5/table1_all_cohorts.csv) shows n_patients, n_windows, prevalence per cohort × event_type."
15a,Results – Model development,"Present the full prediction model (point estimates, CIs).",Yes,"act1_results.json: glmm_cv_auc_mean ± ci95, rf_cv_auc_ci95, xgb_cv_auc_ci95, milp_bootstrap_auc_mean.  Hypotension GLMM AUC=0.750."
16,Results – Model performance,Report performance measures for the model in both development and validation data sets.,Yes,"Act 1: CV AUC + 95% CI.  Act 2: external AUC + bootstrap CI, CITL, slope.  Act 3: VitalDB revalidation (pending).  MIMIC GLMM hypotension AUC=0.6381142098273573."
19,Discussion – Limitations,"Discuss limitations of the study, including potential bias and imprecision.",Partial,"To be written: retrospective design, single-institution development, vasopressor protocol variability, dataset size constraints."
22,Discussion – Implications,Discuss implications for clinical use of the model.,Partial,To be written: BRS and PAP variability features as real-time monitoring targets; alert system integration.
