event_type,model,population,prevalence,sensitivity,specificity,PPV,NPV,LR_plus,LR_minus,NNS
hypotension,MILP,Clínic Barcelona (dev.),0.07,0.513,0.77,0.144,0.955,2.23,0.632,7
hypotension,MILP,Typical major surgery,0.15,0.513,0.77,0.282,0.9,2.23,0.632,4
hypotension,MILP,VitalDB (validation),0.511,0.513,0.77,0.7,0.602,2.23,0.632,2
hypertension,MILP,Clínic Barcelona (dev.),0.07,0.087,0.965,0.158,0.934,2.49,0.946,7
hypertension,MILP,Typical major surgery,0.15,0.087,0.965,0.305,0.857,2.49,0.946,4
hypertension,MILP,VitalDB (validation),0.511,0.087,0.965,0.722,0.503,2.49,0.946,2
hypotension,GLMM (threshold=0.5),Clínic Barcelona (dev.),0.07,0.09,0.988,0.369,0.935,7.76,0.92,3
hypotension,GLMM (threshold=0.5),Typical major surgery,0.15,0.09,0.988,0.578,0.86,7.76,0.92,2
hypotension,GLMM (threshold=0.5),VitalDB (validation),0.511,0.09,0.988,0.89,0.51,7.76,0.92,2
hypertension,GLMM (threshold=0.5),Clínic Barcelona (dev.),0.07,0.056,0.953,0.082,0.931,1.18,0.991,13
hypertension,GLMM (threshold=0.5),Typical major surgery,0.15,0.056,0.953,0.173,0.851,1.18,0.991,6
hypertension,GLMM (threshold=0.5),VitalDB (validation),0.511,0.056,0.953,0.553,0.491,1.18,0.991,2
