feature,auc_clinic,auc_vitaldb
brs_mean,0.5263825896562925,0.5774582104228122
brs_std,0.5300260610573344,0.5755567606949271
brs_slope,0.5156067529829905,0.5174911655911135
brs_min,0.542211541931836,0.5674573910193379
brs_max,0.527736005678332,0.5670190101606031
sdnn_mean,0.5268662237978133,0.6180716082320954
sdnn_std,0.5370840020067131,0.6222861258402572
sdnn_min,0.6086093279252233,0.5219651531043472
sdnn_max,0.5138862274174145,0.6260488691561187
sdnn_slope,0.5364755036630037,0.5335709775860255
rmssd_mean,0.5169868416850308,0.6126134153420026
rmssd_std,0.5365102594591298,0.6207856665692455
rmssd_min,0.5919032714807363,0.5202951090111099
rmssd_max,0.5212811259088925,0.6252825836804106
rmssd_slope,0.5349730998168498,0.5269230769230769
pnn50_mean,0.5201925840758839,0.6105080396329976
pnn50_std,0.5337482572916581,0.6295770531501815
pnn50_min,0.5235899524128901,0.5030702335006771
pnn50_max,0.5263512290675268,0.6649550411910266
pnn50_slope,0.5242788461538461,0.5161041250131537
arv_mean,0.5227901802348482,0.5663486115212676
arv_std,0.5892862587274003,0.6873564778088598
arv_min,0.5785626457155633,0.5625935581104062
arv_max,0.5236658043499091,0.6833560758037087
arv_slope,0.526439445970696,0.5074897400820794
cv_pa_mean,0.6024666517624264,0.6945117666826203
cv_pa_std,0.6310752267946086,0.661715585988059
cv_pa_min,0.5107363759275229,0.5069436665614403
cv_pa_max,0.6179244780854439,0.6952984185497093
cv_pa_slope,0.5123798076923077,0.5503761969904241
std_pa_mean,0.5076251157740093,0.6450927179967618
std_pa_std,0.5849374565189072,0.6516585946307043
std_pa_min,0.556077203964528,0.5448315190273012
std_pa_max,0.5348572918995455,0.6562484088756734
std_pa_slope,0.5072830815018315,0.5484452278227928
rsa_mean,0.5489499182198673,0.6010124189327257
rsa_std,0.5055253107987324,0.5985453648915187
rsa_min,0.5586018395865595,0.5115611357887088
rsa_max,0.5143970347705492,0.5861566872647205
rsa_slope,0.5249690634873773,0.5185144525803866
