event_type,stratum,n_events,n_controls,m1_auc,m1_ci_lo,m1_ci_hi,m2_auc,m2_n_events_test,small_n
hypotension,all,505,483,0.5798,0.5406,0.6159,0.7502,144,False
hypotension,any_vaso,407,389,0.5665,0.5239,0.607,0.6878,141,False
hypotension,no_vaso,98,94,0.6431,0.5556,0.7255,0.8743,27,False
hypotension,stratum_eph_only,204,196,0.5591,0.5031,0.6218,0.854,61,False
hypotension,stratum_phe_epi_bolus,123,124,0.5883,0.5084,0.6614,0.7238,33,False
hypotension,stratum_ca_bolus,19,21,0.5739,0.3588,0.7872,0.1143,5,True
hypotension,stratum_other_infusion,23,36,0.4831,0.2912,0.6482,0.7273,10,True
hypotension,stratum_nepi_infusion,38,12,0.5702,0.3281,0.7401,,0,True
hypotension,stratum_no_vaso,98,94,0.6431,0.5556,0.7255,0.8743,27,False
hypertension,all,75,483,0.5595,0.4793,0.6421,0.8166,18,False
hypertension,any_vaso,55,389,0.5522,0.4692,0.647,0.8209,17,False
hypertension,no_vaso,20,94,0.5734,0.402,0.7319,1.0,4,True
hypertension,stratum_eph_only,29,196,0.5547,0.4126,0.7068,0.7305,8,True
hypertension,stratum_phe_epi_bolus,11,124,0.5865,0.3918,0.7972,0.6179,3,True
hypertension,stratum_nepi_infusion,9,12,0.5926,,,0.9333,3,True
hypertension,stratum_no_vaso,20,94,0.5734,0.402,0.7319,1.0,4,True
