event_type,stratum_col,stratum,n_windows,n_events,n_patients,auc,ci_lo,ci_hi
hypotension,peep_group,all,1479,1132,728,0.7186561236647284,0.6877420848276748,0.7513621675232877
hypotension,peep_group,zero_low,794,631,383,0.7419715516319407,0.7028893147563195,0.7854875553063184
hypotension,peep_group,moderate,685,501,345,0.6923435737221211,0.6358777611209855,0.7397751758945731
hypotension,peep_group,high,0,0,0,,,
hypotension,peep_group,unknown,0,0,0,,,
hypotension,vent_mode,all,1479,1132,728,0.7186561236647284,0.6877420848276748,0.7513621675232877
hypotension,vent_mode,volume_control,865,646,406,0.7011323635438315,0.6535628021929797,0.7424452074767446
hypotension,vent_mode,pressure_control,478,411,250,0.7601045865562698,0.6882288700068105,0.8231381966495417
hypotension,vent_mode,pressure_support,136,75,72,0.6990163934426229,0.5919435873712013,0.7967875827128662
hypotension,vent_mode,unknown,0,0,0,,,
hypertension,peep_group,all,422,75,246,0.8435350624399616,0.7900578728347168,0.8918993220225804
hypertension,peep_group,zero_low,194,31,111,0.8654264793192163,0.7906578978051126,0.9241720085470085
hypertension,peep_group,moderate,227,43,134,0.8246966632962589,0.7428890553359968,0.8985364915300857
hypertension,peep_group,high,1,1,1,,,
hypertension,peep_group,unknown,0,0,0,,,
hypertension,vent_mode,all,422,75,246,0.8435350624399616,0.7900578728347168,0.8918993220225804
hypertension,vent_mode,volume_control,271,52,163,0.8813663505444327,0.8284649370182364,0.9298302469135802
hypertension,vent_mode,pressure_control,78,11,46,0.7652645861601085,0.5549999999999999,0.9335410906298003
hypertension,vent_mode,pressure_support,73,12,37,0.76775956284153,0.6112286851566512,0.9207611832611833
hypertension,vent_mode,unknown,0,0,0,,,
