stratum,level,r_cv_arv,n,ci_lo,ci_hi,p
ane_type,General,0.7144614142876009,4471,0.6998041890924874,0.7285172913514701,0.0
emop,Elective,0.7010723371854961,3824,0.6845883392398192,0.7168396566623437,0.0
emop,Emergency,0.7779931390695319,647,0.7456265739250387,0.8066974160690547,2.5774678797579836e-132
full_mv,Full MV (General+IPPV),0.7148396797994632,4438,0.7001429699209141,0.7289309160300028,0.0
full_mv,Other/Partial,0.7059020791415158,33,0.47857125234582537,0.8445425048829149,4.451555003316849e-06
vaso_any,No vasopressors,0.6965007067147856,1264,0.6669771460010818,0.7238405120818623,3.9640570271586854e-184
vaso_any,Any vasopressor,0.7275591689198984,3207,0.7108478752075037,0.7434494769651147,0.0
rsa_quartile,Q1,0.7675782701860684,1076,0.7418459237666984,0.7910533457583931,1.081119894295645e-209
rsa_quartile,Q2,0.7311598370026162,1077,0.7020891855011953,0.7577973879208979,9.574267132239789e-181
rsa_quartile,Q3,0.6795802410670332,1073,0.6460073239882723,0.7105290389665858,2.8967937128237684e-146
rsa_quartile,Q4,0.6759497173022309,1075,0.6421103301722292,0.7071600929554819,2.0688026454127704e-144
