excl_min,cohort,outcome,n_event,n_control,auc,ci_lo,ci_hi,sign_cv_pa_std,sign_brs_min
60,Clinic,hypotension,66,702,0.6971,0.2772,1.0,1.0,-1.0
60,VitalDB,hypotension,505,483,0.7502,0.704,0.8048,-1.0,-1.0
60,Clinic,hypertension,38,702,0.8354,0.1601,1.0,-1.0,-1.0
60,VitalDB,hypertension,75,483,0.8166,0.7201,0.8949,1.0,-1.0
90,Clinic,hypotension,66,592,0.6902,0.3177,1.0,1.0,-1.0
90,VitalDB,hypotension,505,205,0.8004,0.7539,0.8509,-1.0,1.0
90,Clinic,hypertension,38,592,0.8369,0.2969,1.0,-1.0,-1.0
90,VitalDB,hypertension,75,205,0.8118,0.737,0.873,1.0,-1.0
120,Clinic,hypotension,66,484,0.6642,0.2748,0.9804,1.0,-1.0
120,VitalDB,hypotension,505,99,0.6978,0.5503,0.8171,-1.0,1.0
120,Clinic,hypertension,38,484,0.8375,0.3797,1.0,-1.0,-1.0
120,VitalDB,hypertension,75,99,0.9024,0.836,0.9575,1.0,-1.0
