Feature,Domain,AUC Clínic Hypo,AUC VitalDB Hypo,AUC Clínic Hyper,AUC VitalDB Hyper
ARV max,BPV,0.593,0.774,0.649,0.714
ARV mean,BPV,0.548,0.531,0.620,0.575
ARV min,BPV,0.587,0.677,0.511,0.572
ARV slope,BPV,0.531,0.567,0.561,0.578
ARV std,BPV,0.617,0.781,0.680,0.724
CV(PA) max,BPV,0.551,0.704,0.750,0.688
CV(PA) mean,BPV,0.614,0.603,0.759,0.647
CV(PA) min,BPV,0.702,0.639,0.580,0.527
CV(PA) slope,BPV,0.590,0.715,0.511,0.654
CV(PA) std,BPV,0.639,0.711,0.702,0.652
SD(PA) max,BPV,0.728,0.718,0.666,0.663
SD(PA) mean,BPV,0.575,0.654,0.664,0.650
SD(PA) min,BPV,0.569,0.596,0.514,0.532
SD(PA) slope,BPV,0.626,0.760,0.556,0.675
SD(PA) std,BPV,0.750,0.721,0.670,0.652
BRS max,BRS,0.518,0.503,0.512,0.581
BRS mean,BRS,0.540,0.528,0.516,0.597
BRS minimum,BRS,0.600,0.601,0.611,0.575
BRS slope,BRS,0.535,0.535,0.531,0.524
BRS std,BRS,0.504,0.519,0.501,0.582
RMSSD max,HRV,0.553,0.633,0.514,0.684
RMSSD mean,HRV,0.536,0.604,0.548,0.634
RMSSD min,HRV,0.544,0.523,0.593,0.502
RMSSD slope,HRV,0.541,0.608,0.515,0.632
RMSSD std,HRV,0.548,0.592,0.501,0.639
SDNN max,HRV,0.502,0.631,0.523,0.674
SDNN mean,HRV,0.584,0.614,0.544,0.644
SDNN min,HRV,0.582,0.533,0.607,0.507
SDNN slope,HRV,0.555,0.604,0.507,0.639
SDNN std,HRV,0.512,0.589,0.504,0.635
pNN50 max,HRV,0.554,0.719,0.550,0.758
pNN50 mean,HRV,0.582,0.628,0.528,0.646
pNN50 min,HRV,0.525,0.520,0.525,0.513
pNN50 slope,HRV,0.521,0.589,0.520,0.636
pNN50 std,HRV,0.587,0.638,0.534,0.657
RSA max,RSA,0.517,0.559,0.586,0.606
RSA mean,RSA,0.621,0.580,0.573,0.612
RSA min,RSA,0.591,0.505,0.551,0.509
RSA slope,RSA,0.524,0.562,0.525,0.606
RSA std,RSA,0.502,0.537,0.548,0.599
